2025-08-29T12:47:57.438508: Failed to download video 200: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/200', '-o', 'fcva_videos/videos/video_200.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:59.569272: Failed to download video 201: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/201', '-o', 'fcva_videos/videos/video_201.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:48:01.564201: Failed to download video 202: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/202', '-o', 'fcva_videos/videos/video_202.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:48:03.646270: Failed to download video 203: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/203', '-o', 'fcva_videos/videos/video_203.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:48:05.761840: Failed to download video 204: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/204', '-o', 'fcva_videos/videos/video_204.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:48:07.844874: Failed to download video 205: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/205', '-o', 'fcva_videos/videos/video_205.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:48:09.836293: Failed to download video 206: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/206', '-o', 'fcva_videos/videos/video_206.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:48:11.854389: Failed to download video 207: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/207', '-o', 'fcva_videos/videos/video_207.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:48:14.322033: Failed to download video 208: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/208', '-o', 'fcva_videos/videos/video_208.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:48:18.249849: Failed to download video 209: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/209', '-o', 'fcva_videos/videos/video_209.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:48:21.259625: Failed to download video 212: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/212', '-o', 'fcva_videos/videos/video_212.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:48:23.420778: Failed to download video 213: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/213', '-o', 'fcva_videos/videos/video_213.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:48:25.571555: Failed to download video 214: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/214', '-o', 'fcva_videos/videos/video_214.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:48:27.571597: Failed to download video 215: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/215', '-o', 'fcva_videos/videos/video_215.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
